run,output_dir,best_val,best_step,last_val,last_train,median_tail_tokens_per_sec,median_grad_norm_pre_clip
Mamba2,outputs/disc10m_mamba2_fp32_500m_20260502_185217,4.86253547668457,122000,4.86253547668457,4.204146385192871,16094.6442038653,3.322641611099243
Simamba Simpson,outputs/disc10m_simamba_fp32_500m_20260502_190333,4.93192195892334,89000,4.967146396636963,4.385193347930908,12537.429954156507,5.774755477905273
Simamba Simpson + midpoint,outputs/disc10m_simamba_midpoint_fp32_500m_20260502_190333,4.917760848999023,71000,4.988868236541748,4.3816351890563965,12594.101797405794,5.161616563796997
Simamba trapezoid,outputs/disc10m_simamba_trapezoid_vec_500m_20260503_0609_trap_vec,4.932607650756836,61000,4.932607650756836,4.482272624969482,16279.708772672113,2.502317190170288
Trapezoid,outputs/disc10m_ablate_trapezoid_vec_50m_20260503_followup_50m,5.819502830505371,6000,5.819502830505371,5.61114501953125,16104.88974987806,1.4422631859779358
Simpson default,outputs/disc10m_ablate_simpson_default_50m_20260503_followup_50m,5.917816162109375,6000,5.917816162109375,5.716103553771973,15493.25638709412,1.9258918762207031
Simpson low-control,outputs/disc10m_ablate_simpson_lowctrl_50m_20260503_followup_50m,5.8929443359375,6000,5.8929443359375,5.699461460113525,15454.53535994735,2.290194034576416
Mamba2 d_conv=2,outputs/disc10m_ablate_mamba2_dconv2_50m_20260503_dconv2_50m,5.842501163482666,6000,5.842501163482666,5.626798629760742,16972.78487639308,1.5945124626159668
Mamba2 d_conv=1,outputs/disc10m_ablate_mamba2_dconv1_nomem_50m_20260504,5.900149345397949,6000,5.900149345397949,5.695764064788818,17373.392116170533,1.857122004032135
Local-conv trapezoid,outputs/disc10m_simamba_localconv_trapezoid_50m_20260504_localconv_dconv4_50m,5.846896648406982,6000,5.846896648406982,5.630923748016357,15196.898067501417,1.3356366157531738
Local-conv Simpson low-control,outputs/disc10m_simamba_localconv_simpson_lowctrl_50m_20260504_localconv_dconv4_50m,5.87929630279541,6000,5.87929630279541,5.670077323913574,14331.790708453565,1.6852999329566956
Local-conv Simpson,outputs/disc10m_simamba_localconv_simpson_50m_20260504_localconv_dconv4_50m,5.888951778411865,6000,5.888951778411865,5.675851345062256,14374.267592516335,1.5988838076591492
Unstable fp16/lr=1e-4 run,outputs/simamba_2day_50m_seq128_100m_lr1e4_20260502_025645,7.798831462860107,1000,11.949402809143066,10.361812591552734,583.7645346472758,0.0
